identifier,bibliographicCitation
https://doi.org/10.1093/isd/ixaa017,"Ward, A.K.G., Sheikh, S.I., & Forbes, A.A. (2020). Diversity, Host Ranges, and Potential Drivers of Speciation Among
the Inquiline Enemies of Oak Gall Wasps (Hymenoptera: Cynipidae). Insect Systematics and Diversity, 4(6), 1-13. https://doi.org/10.1093/isd/ixaa017"
https://doi.org/10.5479/si.00963801.61-2439.1,"Weld, L.H. (1922). Notes on cynipid wasps, with descriptions of new North American species. Proceedings of the United States National Museum, 61(2439), 1–29. https://doi.org/10.5479/si.00963801.61-2439.1"
https://doi.org/10.5479/si.00963801.68-2611.1,"Weld, L.H. (1926). Field Notes on gall-inhabiting cynipid wasps with descriptions of new species. Proceedings of the United States Natural Museum, 68(2611), 1–131. https://doi.org/10.5479/si.00963801.68-2611.1"
https://doi.org/10.5479/si.00963801.68-2611.1,"Weld, L.H. (1929). Field notes on gall-inhabiting cynipid wasps with descriptions of new species. Proceedings of the U.S. National Museum, (68), 1-131. https://doi.org/10.5479/si.00963801.68-2611.1"
https://www.biodiversitylibrary.org/page/7735409,"Weld, L.H. (1944). New American cynipids from galls. Proceedings of the United States National Museum, (95), 1-24. https://www.biodiversitylibrary.org/page/7735409"
https://doi.org/10.5479/si.00963801.102-3304.315,"Weld, L.H. (1952). New American cynipid wasps from galls. Proceedings of the United States National Museum. 102(3304), 315-142. https://doi.org/10.5479/si.00963801.102-3304.315"
https://hdl.handle.net/2027/coo.31924018313555,"Weld, L.H. (1957). Cynipid galls of the Pacific slope. Privately printed, Ann Arbor, MI. 116 pp. https://hdl.handle.net/2027/coo.31924018313555"
https://doi.org/10.5479/si.00963801.107-3384.107,"Weld, L.H. (1957). New American cynipid wasps from oak galls. Proceedings of the United States National Museum, 107(3384), 107–122. https://doi.org/10.5479/si.00963801.107-3384.107"
https://archive.org/details/cynipidgallseas00weld,"Weld, L.H. (1959). Cynipid galls of the eastern United States. Privately printed, Ann Arbor, MI. 124 pp. https://archive.org/details/cynipidgallseas00weld"
https://doi.org/10.5962/bhl.title.16937,"Winterringer, G.S. (1961). Some plant galls of Illinois. Illinois State Museum, Story of Illinois. Serial 12, 1-51. https://doi.org/10.5962/bhl.title.16937"
http://doi.org/10.4039/tce.2019.59,"Zhang, Y., László, Z., Looney, C., Dénes, A., Hanner, R., & Shorthouse, J. (2019). DNA barcodes reveal inconsistent species boundaries in Diplolepis rose gall wasps and their Periclistus inquilines (Hymenoptera: Cynipidae). The Canadian Entomologist, 151(6), 717-727. http://doi.org/10.4039/tce.2019.59"
https://books.google.com/books?id=-8QoAAAAYAAJ,"Stebbins, F. A. (1909). Insect galls of Springfield, Massachusetts, and vicinity. Bulletin No. 2. The Springfield Museum of Natural History. 139 pp. https://books.google.com/books?id=-8QoAAAAYAAJ"
https://doi.org/10.1093/aesa/44.2.213,"Bugbee, R.E. (1951). New and described parasites of the genus Eurytoma Illiger from rose galls caused by species of the cynipid genus Diplolepis Geoffrey (Hymenoptera: Eurytomidae). Annals of the Entomological Society of America, 44(2), 213–261. https://doi.org/10.1093/aesa/44.2.213"
https://doi.org/10.11646/zootaxa.4906.1.1,"Lobato-Vila, I. & Pujade-Villar, J. (2021). The genus Synergus Hartig (Hymenoptera: Cynipidae: Synergini) in the New World: a complete taxonomic revision with a key to species. Zootaxa, 4906(1), 1-121. https://doi.org/10.11646/zootaxa.4906.1.1"
https://doczz.net/doc/4948752/silphium-gall-wasps--little-known-prairie,"Henderson, R. & Sauer, S.B. (2010). Silphium gall wasps: little-known prairie specialists. In 22nd North American Prairie Conference. Cedar Falls, IA https://doczz.net/doc/4948752/silphium-gall-wasps--little-known-prairie"
https://esa.confex.com/esa/2018/meetingapp.cgi/Paper/138385,"Barosh, T and Ode, PJ (2018) Two galling insects: Competition and facilitation across spatial scales. Entomological Society of America Annual Meeting, 11-14 November 2018. Vancouver, BC, Canada. https://esa.confex.com/esa/2018/meetingapp.cgi/Paper/138385"
